ordem,bloco,quem,organizacao,nome,texto
84,SEGUNDO,Candidato,PDT,Ciro Gomes,"Eu quero reconciliar o Brasil. Enquanto persistir esse nível de agressividade, sabe? De PT... Ainda agora vinha entrando aqui na Bandeirantes, estava lá a turma do PT batendo no carro, atravessando bandeira; eu conheço isso. Isso vai produzir coisas que o Brasil não merece, e nós precisamos restaurar a paz, reconciliar o Brasil ao redor de um novo e generoso projeto nacional de desenvolvimento que mude esse modelo econômico. Brigam para valer, mas patrocinam o mesmo modelo econômico. Brigam para valer, mas patrocinam o mesmo modelo de governança política em que a corrupção e a fisiologia são o centro do modelo de organização da política brasileira esses últimos 30 anos. Mudar o Brasil significa devolver a condição que nós sabemos fazer. O Brasil era mencionado como exemplo em cobertura vacinal. A vacina está aí, tecnologicamente dominada, mas, infelizmente, nós vimos propaganda contra a vacina, disputa politiqueira com quem é o pai da vacina, propina na compra de vacina! Isso é onde nós estamos: muito próximo do fundo do poço. Eu tenho pedido a Deus, meu irmão, tenho pedido a Deus, tenho vontade assim, sabe, de me conectar com o seu coração para que a gente bote a mão na cabeça e pare um pouquinho para pensar. A ciência da insanidade é repetir o passado e achar que vai ter resultado diferente; não vai. Me dê uma oportunidade, vamos mudar o Brasil, está na hora. Chega de ódio, chega de incompetência, sabe? Chega de projeto... de falta de projeto, absoluta falta de projeto."
85,SEGUNDO,Imprensa,Band,Eduardo Oinegue,A Senadora Simone Tebet fez o pedido de direito de resposta; a comissão avaliou e o direito de resposta não foi concedido.
86,SEGUNDO,Imprensa,Band,Adriana Araújo,"Por favor, eu peço, por gentileza, que os assessores que estão aqui não participem, porque foi o combinado com todos os partidos. A próxima jornalista a perguntar é a representante da Folha de S.Paulo, Patrícia Campos Mello. Boa noite, Patrícia. A quem você dirige a sua pergunta e quem comenta, por favor?"
87,SEGUNDO,Imprensa,Folha de SP,Patrícia Campos Mello,"Boa noite a todos. Minha pergunta é para o ex-presidente da República, candidato Luiz Inácio Lula da Silva, com o comentário do candidato Ciro Gomes. Candidato, o senhor tem falado sobre a necessidade da união da esquerda, mas o senhor e o candidato Ciro Gomes vivem um clima de hostilidade. Recentemente, o candidato Ciro Gomes afirmou, abro aspas, ""que o senhor considera o povo um bando de imbecis"", e também afirmou que já viu o senhor se corrompendo. Em resposta, o senhor afirmou que não leva o Ciro a sério. Como o senhor espera atrair o apoio do candidato Ciro Gomes para um segundo turno, caso o senhor vá para o segundo turno e ele não, e, para o candidato Ciro Gomes, o senhor pretende apoiar o candidato Lula se ele for para o segundo turno e você não... o senhor não?"
88,SEGUNDO,Candidato,PT,Luiz Inácio Lula da Silva,"Olha, primeiro, ao responder essa pergunta, eu queria começar falando das vacinas. As pessoas se esquecem que foi exatamente em 2010 e em 2009, quando chegou a H1N1, nós vacinamos, em três meses, 83 milhões de pessoas nesse país. Então, se as pessoas não são vacinadas, é irresponsabilidade de quem comanda, porque, na verdade, nós temos condições, e o Brasil é lembrado no mundo inteiro como um país de muita competência em vacinação. A segunda coisa é o seguinte, eu falo sempre do Ciro Gomes uma coisa: eu tenho um profundo respeito pelo Ciro Gomes, sou grato ao Ciro Gomes, que esteve no governo comigo de 2003 a 2006, mas o Ciro, nesse instante, ele resolveu não estar conosco, a sair com candidatura própria; é um direito dele, não sou eu que vou impedir. Eu estou construindo uma aliança política com dez partidos políticos, todos os partidos de esquerda e progressistas, e nós vamos ver, se ganharmos as eleições, tentar ver, sabe, se ainda conseguimos atrair o PDT para participar conosco do governo. Eu sempre digo o seguinte: tem três pessoas no Brasil que eu trato com deferência: Mário Covas, Requião e Ciro Gomes. De vez em quando eles podem até falar mal de mim que não levo em conta, porque eu sei que eles têm o coração mais mole do que a língua. Eles têm o coração muito mais mole, são muito mais compreensivos aos problemas sociais. Então é o seguinte: eu espero que o Ciro, nessas eleições, não vá para Paris, eu espero que o Ciro fique aqui no Brasil, que a gente sente para conversar e possa construir a verdadeira aliança política que ele sabe que vai ser construída."
89,SEGUNDO,Candidato,PDT,Ciro Gomes,"O Lula é esse encantador de serpente, vai na emoção das pessoas, cativa. Nós temos uma relação bastante antiga, e ele quer sempre trazer a coisas pro lado pessoal. Não é pessoal. Eu atribuo ao Lula a contradição econômica do Lula, a contradição moral do Lula e do PT o Bolsonaro. Eu não acho que o Bolsonaro desceu de Marte com essas contradições todas. O Bolsonaro foi um protesto absolutamente reconhecido respeitosamente por mim contra a devastadora crise econômica que o Lula e o PT produziram e que ele apaga. Ele faz números assim e esquece. Se você tomar... E eu vou fazer isso durante esse debate. A média de crescimento econômico do período do PT é medíocre. É igualzinha à do Fernando Henrique Cardoso. O desemprego que tá aí de dez, o Bolsonaro recebeu com 12. Recebeu do PT. E a razão da minha... distanciamento é que infelizmente o Lula se deixou corromper mesmo. Tá com Geddel Vieira Lima, tá com Renan Calheiros, tá com Eunício Oliveira. Pesquise quem são essas pessoas."
90,SEGUNDO,Candidato,PT,Luiz Inácio Lula da Silva,"Mesmo assim, Ciro, nós ainda vamos conversar. E você vai pedir desculpa porque você sabe que você tá dizendo inverdades a meu respeito. Você sabe que tá dizendo inverdades. Agora, o que é importante a gente levar em conta é que quando o Ciro joga a responsabilidade da eleição do cidadão nas minhas costas, eu queria dizer que eu não fui pra Paris. Eu não saí do Brasil pra não votar no Haddad. Eu não saí do Brasil pra não votar... E fui preso pra não ganhar as eleições, porque sabiam que se eu tivesse liberdade, eu ganhava as eleições. E você sabe que eu fui absolvido em todos os 26 processos. Você sabe que eu fui absolvido em todos os processos. Fui absolvido na ONU, fui absolvido na primeira, na segunda instância e duas vezes na Suprema Corte. Agora é o seguinte: eu sou o único inocente que paga o preço de ser inocente, ou seja, eu sou culpado porque sou inocente. Eu continuo dizendo pra vocês o seguinte: nós vamos trabalhar para voltar a governar esse país, pra fazer a economia crescer, pra investir na educação, as pessoas se esquecem que quem criou o piso escolar fui eu. E muitos governadores não queriam sequer pagar o piso escolar. As pessoas se esquecem que nós espalhamos universidades por esse país afora. E vou dizer uma coisa pra você: o Prouni foi a maior revolução educacional que a gente fez nesse país. Milhões de meninos da periferia, meninos negros e negras que estudavam em escola pública tiveram a oportunidade de primeira vez fazer uma universidade que era privilégio de rico. Era privilégio da classe média alta. Aliás, Ciro, você sabe perfeitamente bem que esse país é tão contra a educação que o Peru teve a sua primeira universidade em 1554, e a nossa primeira foi em 1920. Ou seja, a elite brasileira nunca se preocupa a educar. Precisou um metalúrgico sem diploma cuidar disso."
91,SEGUNDO,Imprensa,Band,Eduardo Oinegue,Quem escolhe os candidatos pra responder e comentar e faz a pergunta agora pelo UOL é a jornalista Thaís Oyama.
92,SEGUNDO,Imprensa,UOL,Thaís Oyama,"Minha pergunta é pra candidata Simone Tebet com comentário da candidata Soraya Thronicke. Candidata, a senhora tem enfatizado na sua campanha o fato de ser mulher. Seu slogan é ""mulher vota em mulher"". E a senhora também já disse que gostaria de ser vista como uma feminista. Já a candidata Soraya Thronicke, ela afirma ter restrições ao que considera ser, por vezes, um comportamento vitimista da parte de algumas mulheres. Ela já disse, por exemplo, que diante de uma acusação de estupro, não é porque a acusadora é mulher que tem razão. Então minha pergunta é: em que medida a senhora concorda ou discorda da candidata Soraya Thronicke nessa crítica em relação ao suposto vitimismo feminino?"
93,SEGUNDO,Candidato,MDB,Simone Tebet,"Bom, gostaria de agradecer a pergunta, Thaís, nós já tratamos desse assunto mais de uma vez, é um tema que eu acho que envolve a todos nós. Ser feminista é defender o direito das mulheres. E não tem lado, não é a esquerda ou a direita que vai ter... dizer e vai capitanear essa pauta. Ser feminista é defender o direito das mulheres. E eu quero fazer aqui um elogio inclusive à candidata Soraya porque, nesse sentido, ela concorda comigo. Sabe o que é ser feminista no Brasil hoje? É olhar pra essas mulheres que estão nas barracas de lona, em praças públicas, alimentando no seio uma criança, ela mesma com fome, porque teve que dar o pouco do resto de comida que tinha pro seu filho mais velho. Sabe o que é ser feminista? É defender, como eu e Soraya defendemos, a igualdade salarial entre homens e mulheres. Aprovamos no Senado, e se eu for eleita presidente da república, eu tiro da gaveta da Câmara dos Deputados porque tá lá parado. Não é possível, no Brasil majoritariamente feminino, que somos maioria do colégio eleitoral, na mesma função, com a mesma atividade, com a mesma profissão, com a mesma competência ganharmos até 20% menos. Se formos negras então, chegamos a receber 50% menos. Temos as nossas diferenças, eu não concordo, sendo bem objetiva, com esta colocação da senadora Soraya. Mas tenho que dizer que a bancada feminina no Senado Federal é atuante. Nós precisamos de uma mulher pra arrumar a casa. Nós precisamos de uma mulher pra pacificar o país, pra unir o país, pra dar credibilidade, pra fazer com que esse ódio que hoje divide, e que começou lá atrás, no governo do PT, do nós contra eles, definitivamente chega ao fim porque hoje tá dividindo as famílias. Ninguém fala de política na mesa do domingo porque não quer mais criar confusão, sendo que a política é a essência da vivência da democracia. Então, nesse sentido, eu quero ampliar esse debate. Ser feminista é respeitar as mulheres que pensam diferente. Soraya pensa diferente de mim em alguns pontos, mas defende os direitos das mulheres como eu."
94,SEGUNDO,Candidato,UNIÃO,Soraya Thronicke,"Thaís, boa noite. Primeiro lugar, gostaria que você até mesmo repetisse, porque eu estou surpresa. Eu acredito que eu não tenha entendido a afirmativa que colocaram na minha boca. Mas vamos lá, vamos ouvir novamente."
95,SEGUNDO,Imprensa,UOL,Thaís Oyama,"Disse em entrevista ao programa Pânico, da Jovem Pan, que não é porque a acusadora é mulher que tem razão. Evidentemente que a senhora estava generalizando, não é?"
96,SEGUNDO,Candidato,UNIÃO,Soraya Thronicke,"Ah, tá. Eu assustei porque você estava falando para mim que era caso de estupro, e que a mulher não tinha razão. Pelo amor de Deus. Jamais."
97,SEGUNDO,Imprensa,UOL,Thaís Oyama,"Foi no caso do debate, senadora."
98,SEGUNDO,Candidato,UNIÃO,Soraya Thronicke,"Ah, tá. Eu gostaria que devolvessem o meu tempo, porque eu quis entender que caso que é. Sim, como advogada, eu entendo que a gente tem que analisar o fato por fato, e que sim, por que que uma mulher não pode mentir? Mas eu quero dizer para vocês o seguinte: eu sou pela paridade, Thaís, paridade. Tanto foi que eu escolhi para ser meu vice um homem. O que eu quero é nada mais... não quero mais do que nós mulheres merecemos. Mas queremos o nosso lugar, no nosso espaço de poder, que nós merecemos e que nós temos a capacidade. E aí, eu quero me solidarizar com a Vera. Acho que o meu tempo vai acabar e eu gostaria..."
99,SEGUNDO,Imprensa,Band,Eduardo Oinegue,"Candidata, o seu tempo foi paralisado no tempo em que a jornalista fez o comentário. Então, a senhora tinha um minuto para o seu comentário."
100,SEGUNDO,Candidato,UNIÃO,Soraya Thronicke,E eu já usei?
101,SEGUNDO,Imprensa,Band,Eduardo Oinegue,Já usou. Obrigado. Candidata Tebet.
102,SEGUNDO,Candidato,MDB,Simone Tebet,"Eu fui a primeira mulher presidente da Comissão de Combate à Violência Contra a Mulher, no Senado. Ali eu vi coisas inimagináveis. Já tinha visto ali no caso concreto como prefeita. Mas ali eu tive uma constatação muito triste que esse registro eu preciso deixar ao Brasil, para entender o que significa violência contra a mulher. Uma em cada três mulheres no Brasil sofreu, sofre ou sofrerá algum tipo de violência dentro ou fora de casa. A maior parte acontece dentro de casa, por arma de fogo ou por um companheiro que jurou proteger. Mas o que é mais grave que todos precisam saber, é que a maior violência não acontece com a mulher dentro de casa, ela acontece com a criança de zero a 14 anos. 60% da violência acontece, eu estou falando de pedofilia, eu estou falando de estupro, eu estou falando de abuso sexual. É disso que nós estamos falando. E contra isso é tolerância zero, nós temos que colocar na cadeia quem agride a mulher brasileira, quem agride uma criança, quem agride um adolescente. Nós temos que dar exemplo. Exemplo que, lamentavelmente, o presidente não dá quando desrespeita as mulheres, quando fala das jornalistas, quando agride, ataca e conta mentiras, como acabou de fazer. Quero dizer que eu não tenho medo. Quero dizer que fake news e robôs do seu governo não me amedrontam. Eu fiz aquele posicionamento que foi cortado e editado para virar fake news, porque estava justificando uma decisão do seu presidente do Congresso Nacional, Rodrigo Pacheco. Foi a decisão dele que impediu a investigação de governadores. Eu fui fazer uma justificativa da decisão dele. Então quero dizer para o presidente da República, nem é para o candidato, que fabrica fake news e que fala inverdades, eu não tenho medo de você e nem dos seus ministros. Recebi violência política na CPI, fui chamada de ""descontrolada"", um outro, de dedo, me ameaçando porque queria me impedir de falar e de participar da CPI da vida. E pior que isso, um ministro seu tentou me intimidar, entrando no Supremo Tribunal Federal porque eu denunciei o esquema de corrupção da vacina que vossa excelência não quis comprar."
103,SEGUNDO,Imprensa,Band,Adriana Araújo,"Obrigada. Próxima pergunta é da Folha de S.Paulo, com a jornalista Mônica Bergamo."
104,SEGUNDO,Imprensa,Folha de SP,Mônica Bergamo,"Boa noite. Minha pergunta vai para a Senadora Soraya, com comentário de Luiz Felipe D'Ávila. Senadora, eu gostaria de fazer uma pergunta sobre religião. A separação entre igreja e Estado foi consagrada no Brasil na Constituição de 1891, faz mais de um século. O estado laico, que é o Estado que não tem religião, não tem uma única religião, ele garante a liberdade para todas as religiões. Só um estado laico garante liberdade para todas as religiões. Evangélicos, brasileiros, umbandistas brasileiros, muçulmanos brasileiros, católicos, judeus, kardecistas e os ateus, todos têm direito a sua fé e convicção. O Código Penal diz que é crime quando você escarnece de alguma religião, quando você escarnece de alguém por motivos religiosos. Dizer que é coisa de demônio etc. Eu queria saber como a senhora, se eleita presidente, vai lidar com essa questão, vai garantir esse preceito fundamental da nossa Constituição."
105,SEGUNDO,Candidato,UNIÃO,Soraya Thronicke,"Lógico, Mônica. Lógico. É óbvio. Todos têm direito a adorar o Deus que bem entenderem. Eu sou cristã e vim aqui trabalhar para a paz. Estou trabalhando nessa campanha para disseminar a paz e a união entre as pessoas, pedir para as pessoas acabarem com essa polarização e de disseminar o ódio entre os brasileiros, um povo amável, um povo afável, que, infelizmente, estão nos separando. E mais, Mônica, eu quero aqui aproveitar, eu sou muito tranquila, vim na paz, bandeira branca, só que quando eu vejo o que aconteceu agora com a Vera, eu realmente fico extremamente chateada. Quando homens são tchutchuca com outros homens, mas vêm para cima da gente sendo tigrão, eu fico extremamente incomodada. Aí eu fico brava, sim. E digo mais para você. Lá no meu estado, tem mulher que vira onça, e eu sou uma delas. Eu não aceito esse tipo de comportamento e de xingamento; e, acima de tudo, disseminar ódio entre os brasileiros e nos dividir. Nós dizíamos sempre, lá atrás, que o PT nos separava, separava para conseguir manipular e manobrar todo mundo. Este governo está fazendo a mesma coisa. A mesma coisa. Age da mesma forma. Se você é de direita ou de esquerda, de centro, não me importa, eu tenho que te respeitar, acima de qualquer coisa. Então, liberdade religiosa para todos nós; e temos, sim que não permitir que as pessoas fiquem utilizando, na política, o nome de Deus em vão. É vergonhoso. Já tem aí evangélicos, já tem muitos católicos chateadíssimos e tem candidato perdendo eleitor por causa dessa falta de respeito com a religião."
106,SEGUNDO,Candidato,NOVO,Felipe D'Avila,"Bom, Mônica, a religião é algo de foro íntimo, que tem que ser respeitado. A crença é uma das liberdades individuais mais importantes. Eu mesmo sou muito católico, praticante, e respeito, e é preciso manter a religião longe da política. Isso aqui não é uma teocracia. Isso aqui é uma democracia. E sabe qual é o dizimo que a gente mais está usando hoje? Chama-se ""fundão eleitoral"". Sabe o que é o fundão eleitoral? Todos aqui, R$ 5 bilhões, tira do seu bolso para ficar gastando dinheiro em campanha política. Dinheiro que devia estar indo para a Saúde, para ter pelo menos 900 mil crianças, jovens, em escola em tempo integral. Daria para usar esse dinheiro e ter três milhões de cirurgias no SUS, e a gente fica usando esse dinheiro de forma perversa para financiar campanha política. Essa é uma das únicas coisas que mostram o mau exemplo do uso do dinheiro público. O dinheiro público brasileiro vem sendo usado mal porque a gente tem mania de escolher o menos pior. Tem que acabar com isso, tem que respeitar o dinheiro público, tem que respeitar o bolso daquele que trabalha."
107,SEGUNDO,Candidato,UNIÃO,Soraya Thronicke,"Bom, não posso deixar aqui de colocar também que eu já estou vacinada contra a mentira, e não virei jacaré até hoje, graças a Deus. Mas o povo brasileiro não está vacinado contra mentira. Vamos lá. O Governo Federal propôs R$ 200 de Auxílio Emergencial. Quem subiu para R$ 600 e quem está colocando R$ 600 no bolso dos brasileiros somos nós, senadores e deputados. Então, não aguento mais mentira. Mentira em relação à corrupção. Aqui está difícil, entre presidentes, alguém ter a moral, a moral de olhar para a cara dos brasileiros e falar que não existe corrupção. Chega disso! Chega de briga, chega de confusão, chega de usar o nome de Deus em vão, e vamos mudar. Vamos virar a página deste país. Eu não tenho tempo para brigar. Então não vou me misturar com briga e confusão. É lógico que eu fico brava porque eu sou gente como todo mundo que está me ouvindo. Não sou atriz e não estou aqui para disfarçar, mas vocês podem ter certeza de que, do jeito que está, eu vou começar a entregar, e é muita coisa aqui. Reforcem a minha segurança, delegado."
108,SEGUNDO,Imprensa,Band,Adriana Araújo,"Obrigada. Só fazer um registro, ao final da fala da candidata Simone Tebet, o candidato Jair Bolsonaro fez um pedido de direito de resposta, está registrado aqui. A comissão que avalia já está analisando o caso. Podemos seguir."
109,SEGUNDO,Imprensa,Band,Eduardo Oinegue,"quem faz a pergunta agora, pela Rádio Bandeirantes, é a jornalista Thays Freitas. Por favor, quem vai responder e comentar, Thays?"
110,SEGUNDO,Imprensa,Rádio Bandeirantes,Thays Freitas,"Boa noite a todos. A minha pergunta é para o candidato Luiz Felipe D'Ávila, comentário da candidata Simone Tebet. É um assunto, candidato, que sempre está presente na programação da Rádio Bandeirantes, em todo o Brasil, e diz respeito à infraestrutura do país, especialmente em relação ao agronegócio. Hoje, o Brasil é o segundo maior exportador de grãos do mundo, e existe um gargalo para fazer com que esses grãos cheguem aos portos. Havia um projeto, ele existe ainda, é o projeto da Ferrogrão, que foi suspenso por uma liminar do Supremo Tribunal Federal, e isso ainda não saiu do papel, ligaria o Mato Grosso ao Pará, fazendo com que o escoamento da safra fosse mais rápido e mais barato. Pela magnitude da produção agrícola do Brasil, pelo tamanho da importância do país como produtor de grãos, eu pergunto ao senhor: caso o senhor seja eleito, qual é a sua proposta para fazer com que esse deslocamento de uma produção de milhões de toneladas pelo país seja feito de uma forma melhor, mais econômica, mais inteligente do que é feito hoje?"
111,SEGUNDO,Candidato,NOVO,Felipe D'Avila,"É verdade, Thays, e nós precisamos de investimento privado, daí parcerias público-privadas, concessão, nós precisamos de dinheiro privado, e dinheiro privado só vem se a gente acreditar em contrato, ter segurança jurídica, honrar o que está no papel, e não ficar encampando depois, como aconteceu com a Linha Amarela no Rio de Janeiro, uma vergonha total! Então, nós precisamos dessa confiança. O Congresso aprovou um projeto importante, o novo PL das Ferrovias. Isso vai permitir, sim, que haja mais investimento em ferrovia, que é algo fundamental para o Brasil. Mas tem outras áreas essenciais: saneamento básico. Eu não sei como as pessoas são contra privatização. Vejam só vocês: hoje, o que acontece? Quem controla o saneamento básico? A maioria estatal, empresas ineficientes, cem milhões de brasileiros não têm acesso a esgoto tratado. Finalmente, agora, se aprovou o Marco do Saneamento. E, olha, fica de olho no Congresso, hein! Que pode vir encrenca pela frente. Apesar de ter aprovado lá o Marco do Saneamento Básico, já começa a maracutaia para ajudar estatal. É assim: estatal agora não vai ter que participar de licitação, só a iniciativa privada; já está começando, é bom ficar de olho naquilo lá. Muito importante para que nós tenhamos recursos privados. E aí já tem meta para acabar com essa excrescência que é deixar cem milhões de brasileiros sem saneamento básico em 2033, com investimento privado. Portanto, é o investimento privado, é o mercado que resolve. Daí a importância da privatização. A gente tem que privatizar tudo no Brasil. Privatização porque tem que acabar com esse cabide de emprego público, esse mau uso de dinheiro público, esses lugares onde são feitos os maiores escândalos de corrupção do Brasil: são lá Mensalão, Petrolão; chega disso! Nós precisamos escolher os melhores, aqueles que vão abrir a economia do Brasil, atrair investimento privado, investir em concessão e parceria público-privado para resolver a questão da infraestrutura brasileira, que, hoje, é dos maiores gargalos do Custo Brasil: o desperdício de alimento. Sabe por que tem gente passando fome hoje? 55 milhões de toneladas de alimento são desperdiçadas quando o alimento que sai da fazenda e chega até o supermercado. Se nós economizássemos 5 milhões de toneladas, 10% desse valor, acabaria com o problema da fome no Brasil."
112,SEGUNDO,Imprensa,Band,Eduardo Oinegue,Candidata?
113,SEGUNDO,Candidato,MDB,Simone Tebet,"Sem dúvida nenhuma nós precisamos de investimento privado para o Brasil voltar a crescer, gerar emprego e renda. Eu nasci em uma cidade rasgada por ferrovias. Sou do Centro-Oeste, do celeiro do Brasil, e conheço bem essa realidade. Nós temos projetos parados, e já não é de agora, para rasgar o Brasil de norte a sul, de leste a oeste com rodovias. Mas quem faz ferrovias no Brasil é a iniciativa privada. Só dos projetos que estão lá, 20 deles têm a capacidade, nos próximos anos, de injetar R$ 100 bilhões na economia brasileira. Nós podemos estar falando de algo em torno de dois milhões e meio de empregos, diretos e indiretos, no Brasil. Rasgar o país de ferrovias significa trazer os grãos mais baratos, mais rápidos, de forma mais ecológica e fazendo, com isso, que nós possamos nos tornar mais competitivos ainda com o mercado internacional."
114,SEGUNDO,Candidato,NOVO,Felipe D'Avila,"O agronegócio é um exemplo para o Brasil. É o único setor da economia que consegue competir na economia global. Portanto, infraestrutura para o agro é vital para continuarmos a exportar mais. E outra: para ajudar o agro exportar não só commodities, mas valor, bens de maior valor agregado. E é um absurdo, viu, Lula? Chamar o agro de fascista; isso é um absurdo! Esse é o motor da economia brasileira. Nós temos de ter orgulho do agronegócio brasileiro, esse agro sustentável, que hoje é o maior produtor... um dos maiores produtores de soja, algodão do mundo. O mundo, hoje, depende do Brasil para ser alimentado. Portanto, nós temos de honrar o que há de melhor. Nós precisamos parar com essa história, esse complexo de vira-lata e ter complexo das coisas que a gente faz bem. O agro brasileiro é um exemplo. Nós precisamos enaltecer o agro. O agro é o que fez a economia crescer. Se você tirar o crescimento do PIB do agro, sabe quanto o Brasil teria crescido? Zero. Zero. O mundo cresceu 32% de 2010 a 2020, e sabe quanto cresceu o Brasil? 2,5. E se tirar o agro, cresceu zero. Portanto, nós temos de enfatizar o que é de valor no Brasil, que é o agro. E é por isso que a gente tem que tirar o Estado das costas das pessoas que trabalham, que geram riqueza, que produzem. O Estado brasileiro só inferniza a gente com burocracia e com imposto, cada vez mais imposto sendo cobrado para prestar um serviço público de péssima qualidade, como é o caso da infraestrutura no Brasil: estradas esburacadas. É isso que é a ineficiência e a incompetência desses que governam o país. Chega de eleger o menos pior para a Presidência da República."
115,SEGUNDO,Imprensa,Band,Eduardo Oinegue,"A comissão avaliou o pedido de direito de resposta do candidato Jair Bolsonaro e foi recusado. Chegamos ao final deste bloco no primeiro debate entre os candidatos à presidência realizado aqui nos estúdios da Band, em São Paulo, pelo Grupo Bandeirantes em parceria com a TV Cultura, a Folha de S.Paulo e o portal UOL."
116,SEGUNDO,Imprensa,Band,Adriana Araújo,"Depois do intervalo, mais um confronto direto entre os candidatos, só que agora eu e o Eduardo Oinegue nos despedimos porque o próximo bloco será mediado pelos jornalistas Leão Serva, da TV Cultura, e Fabíola Cidral, do UOL."
117,SEGUNDO,Imprensa,Band,Eduardo Oinegue,"Olho no voto, eleições 2022."
118,TERCEIRO,Imprensa,Cultura,Leão Serva,Boa noite.
119,TERCEIRO,Imprensa,UOL,Fabíola Cidral,"Boa noite. Voltamos ao vivo para todo Brasil com este que é o primeiro debate das Eleições 2022 entre candidatos à Presidência da República. O encontro promovido em parceria entre o Grupo UOL, Bandeirantes, TV Cultura e jornal Folha de S.Paulo."
120,TERCEIRO,Imprensa,Cultura,Leão Serva,"Um momento histórico para a democracia brasileira. É a primeira oportunidade que os eleitores têm para comparar no mesmo programa as propostas, as ideias e as reações dos candidatos. Lembro que o debate está sendo exibido na internet pelos canais digitais de todas as empresas do pool, e também nas rádios Cultura Brasil e Cultura FM."
121,TERCEIRO,Imprensa,UOL,Fabíola Cidral,"Esse bloco abre com mais uma rodada de confronto direto entre os candidatos. Vamos então relembrar as regras que foram aprovadas por todos os partidos. Cada candidato escolhe quem vai responder e tem um minuto para a pergunta e um minuto para a réplica. A resposta e a tréplica terão tempo acumulado de quatro minutos para ser administrado pelo candidato. Os candidatos só podem responder uma vez. Na sequência do bloco, mais uma rodada com perguntas sobre programas de governo para todos os candidatos. Serão três perguntas, cada uma respondida por dois dos candidatos. O tempo de resposta é de um minuto. Logo após essa rodada, os candidatos terão dois minutos para as suas considerações finais, em ordem invertida ao início do debate."
122,TERCEIRO,Imprensa,Cultura,Leão Serva,Vamos começar então esse segundo momento de confronto direto. Eu lembro que cada candidato só pode responder uma vez.
123,TERCEIRO,Imprensa,UOL,Fabíola Cidral,"E pelo sorteio prévio, quem começa essa rodada indicando quem vai responder é a candidata Simone Tebet. A quem a senhora pergunta, candidata?"
124,TERCEIRO,Candidato,MDB,Simone Tebet,"Ao candidato Bolsonaro. Eu vou reformular minha pergunta, até porque eu vi que ele fez um pedido de resposta e não foi atendido. Eu gostaria dar oportunidade a ele. Então, eu vou reformular a minha pergunta. O candidato Bolsonaro, como deputado, defendeu um assassino de mulheres... de uma mulher, no Senado. Defendeu um torturador de mulheres, assim mesmo, no plural. Votou contra os direitos das empregadas domésticas, votou contra o contrato de trabalho e direitos trabalhistas das mulheres. Ameaça jornalistas, comete misoginia, agride as mulheres brasileiras. Eu mesma já fui vítima, repito aqui, de violência política de seus ministros. Eu quero de forma bem objetiva não voltar na questão do robô, que não me intimida, dos recortes de fake news que são divulgados a todo momento, inclusive sobre a minha candidatura. Mas a pergunta é bem objetiva. Candidato Bolsonaro, por que tanta raiva das mulheres?"
125,TERCEIRO,Candidato,PL,Jair Bolsonaro,"Me acusa sem prova nenhuma. Começo dizendo que eu defendi o estuprador. Qual? Qual estuprador? Por que essa forma barata de me acusar como se eu não gostasse de mulheres? Eu fui o governo que mais sancionou leis defendendo mulheres. Hoje, é o Dia do Voluntariado. Eu quero cumprimentar a primeira-dama pelo brilhante trabalho que ela faz nessa área. Nunca foi procurada por vossa excelência para tratar desse assunto. Duas mulheres foram na CPI da Covid, a senhora Nise Yamaguchi e a senhora Mayra, lá do Ceará. Foram maltratadas. Foram esculhambadas. Foram humilhadas. Onde estava vossa excelência que era da comissão da Covid? Estava escondidinha apoiando Renan Calheiros, Omar Aziz. Apoiando essas pessoas. Não foi defender mulheres lá. E duas mulheres, quem tem algo contra Nise Yamaguchi, meu Deus do céu? Quem tem algo contra à senhora Mayra, lá do Ceará? Duas médicas. O que a senhora fez? Veio com discurso barato, que eu ataco, que eu agrido as mulheres. Não cola mais. Não cola isso. Uma mulher se, porventura, faz algo errado, ela tem que responder por isso. E não ser defendida só porque é mulher. Chega de vitimismo. Somos todos iguais. Repito, sancionei mais de 60 leis em defesa das mulheres. E eu tenho certeza, uma grande parte das mulheres do Brasil me amam, que eu defendo a família, eu sou contra a liberação das drogas, que tem muita gente aqui que é favorável a liberação das drogas, essas pessoas não sabem o que é uma mãe ter um filho em casa drogado. Eu defendo as mulheres. Quando eu defendo a arma, no campo, em especial, é para dar chance para a mulher se defender. Eu dei mais de 370 mil títulos da Reforma Agrária no Brasil, seu estado foi muito beneficiado, e deixo claro, 90% desses títulos foram para mulheres. Das 20 milhões de pessoas que recebem Auxílio Brasil, em torno de 15 milhões são mulheres. Para com essa mania. Faz política, fala coisa séria. Não fica aqui fazendo joguinho de ""mimimi"". Robô? Ora, meu Deus do céu, qual é a sua posição sobre liberdade de imprensa? Não vi ninguém do seu lado falar sobre essa agressão contra os empresários que tiveram uma busca e apreensão na tua casa porque estavam discutindo numa rede privada. Que negócio é esse? Qual a defesa que a senhora faz da liberdade de imprensa? Da liberdade... em toda sua plenitude? Para de fazer discurso barato, prezada senadora."
